,index,rate,rest_type,cuisines,cost_for_two,name,online_order,book_table,votes,listed_in(type),location,price_range
38,38,4.4,Casual Dining,North Indian,750,Empire Restaurant,1,0,4884,Delivery,Jayanagar,Premium
39,39,4.0,Quick Bites,South Indian,150,Maruthi Davangere Benne Dosa,1,0,17,Delivery,Banashankari,Budget
40,40,3.8,Quick Bites,Street Food,200,Chaatimes,1,0,133,Delivery,Basavanagudi,Budget
41,41,3.9,Mess,South Indian,300,Havyaka Mess,0,0,28,Delivery,Banashankari,Budget
42,42,3.9,Quick Bites,Burger,500,McDonald's,1,0,286,Delivery,Banashankari,Mid
43,43,3.9,Quick Bites,Pizza,800,Domino's Pizza,1,0,540,Delivery,Banashankari,Premium
44,44,4.6,"Casual Dining, Cafe",Pizza,600,Onesta,1,1,2556,Delivery,Banashankari,Mid
45,45,3.8,Delivery,North Indian,400,Hotboxit,0,0,36,Delivery,Banashankari,Mid
46,46,3.6,Quick Bites,North Indian,300,Kitchen Garden,1,0,244,Delivery,Kumaraswamy Layout,Budget
47,47,4.0,Casual Dining,North Indian,450,Recipe,1,0,804,Delivery,Kumaraswamy Layout,Mid
48,48,3.7,Casual Dining,Chinese,850,Beijing Bites,1,0,679,Delivery,Rajarajeshwari Nagar,Premium
49,49,3.1,Quick Bites,North Indian,300,Tasty Bytes,1,0,245,Delivery,Kumaraswamy Layout,Budget
50,50,3.7,Quick Bites,North Indian,450,Petoo,0,0,21,Delivery,Banashankari,Mid
51,51,4.1,Quick Bites,Fast Food,150,Shree Cool Point,1,0,28,Delivery,Vijay Nagar,Budget
52,52,4.3,Dessert Parlor,Ice Cream,400,Corner House Ice Cream,0,0,345,Delivery,Banashankari,Mid
53,53,4.0,Casual Dining,Biryani,750,Biryanis And More,1,0,618,Delivery,Jayanagar,Premium
54,54,4.0,Quick Bites,Italian,450,Roving Feast,0,0,1047,Delivery,Banashankari,Mid
55,55,3.9,Delivery,Healthy Food,450,FreshMenu,1,0,627,Delivery,Banashankari,Mid
56,56,3.8,Quick Bites,Biryani,300,Banashankari Donne Biriyani,1,0,104,Delivery,Banashankari,Budget
57,57,4.2,Casual Dining,Asian,800,Wamama,1,1,354,Delivery,Banashankari,Premium
58,58,3.6,Quick Bites,Fast Food,200,Five Star Chicken,0,0,55,Delivery,Banashankari,Budget
59,59,3.7,Dessert Parlor,Desserts,400,XO Belgian Waffle,1,0,17,Delivery,Banashankari,Mid
60,60,4.2,Casual Dining,Italian,800,Peppy Peppers,0,0,244,Delivery,Banashankari,Premium
61,61,3.6,Casual Dining,Goan,800,Goa 0 Km,1,1,163,Delivery,Kumaraswamy Layout,Premium
62,62,3.8,Quick Bites,Chinese,150,Chinese Kitchen,1,0,58,Delivery,Basavanagudi,Budget
63,63,4.0,Casual Dining,North Indian,850,1947,0,1,808,Delivery,Banashankari,Premium
64,64,3.7,"Bakery, Dessert Parlor",Bakery,150,Cake of the Day,0,0,78,Delivery,Banashankari,Budget
65,65,4.1,Quick Bites,North Indian,400,Kabab Magic,1,0,1720,Delivery,Basavanagudi,Mid
66,66,3.6,Quick Bites,South Indian,100,Namma Brahmin's Idli,1,0,34,Delivery,Jayanagar,Budget
67,67,4.1,Pub,Continental,1200,Gustoes Beer House,0,0,868,Delivery,Banashankari,Luxury
68,68,3.8,Bakery,Bakery,300,Sugar Rush,0,0,39,Delivery,Banashankari,Budget
69,69,3.2,Quick Bites,Burger,600,Burger King,1,0,71,Delivery,Basavanagudi,Mid
70,70,3.6,"Takeaway, Delivery",Italian,500,The Good Bowl,1,0,6,Delivery,Banashankari,Mid
71,71,4.1,Quick Bites,Biryani,300,The Biryani Cafe,0,0,520,Delivery,Banashankari,Budget
72,73,2.9,Delivery,Chinese,700,LSD Cafe,0,0,84,Delivery,Banashankari,Premium
73,74,3.6,Quick Bites,Fast Food,300,Rolls On Wheels,0,0,299,Delivery,Banashankari,Budget
74,76,4.1,Quick Bites,South Indian,150,Sri Guru Kottureshwara Davangere Benne Dosa,1,0,558,Delivery,Basavanagudi,Budget
75,77,3.6,Quick Bites,Biryani,300,Devanna Dum Biriyani Centre,1,0,28,Delivery,Banashankari,Budget
76,78,3.7,Quick Bites,Fast Food,500,Kolbeh,0,0,22,Delivery,Banashankari,Mid
77,79,3.8,Quick Bites,South Indian,350,Upahar Sagar,0,0,39,Delivery,Banashankari,Mid
78,80,3.8,Fine Dining,Seafood,500,Kadalu Sea Food Restaurant,1,0,153,Delivery,Vijay Nagar,Mid
79,81,4.2,Beverage Shop,Beverages,400,Frozen Bottle,1,0,146,Delivery,Banashankari,Mid
80,82,3.5,Sweet Shop,Mithai,200,Parimala Sweets,0,0,14,Delivery,Banashankari,Budget
81,83,3.8,Casual Dining,North Indian,700,Vaishali Deluxe,0,0,42,Delivery,Banashankari,Premium
82,85,4.0,Bakery,Bakery,300,The Big O Bakes,0,0,66,Delivery,Banashankari,Budget
83,86,4.4,Casual Dining,Biryani,600,Meghana Foods,1,0,4401,Delivery,Jayanagar,Mid
84,87,3.5,Quick Bites,North Indian,200,Krishna Sagar,0,0,31,Delivery,Banashankari,Budget
85,88,3.5,Dessert Parlor,Desserts,500,Dessert Rose,0,0,7,Delivery,Banashankari,Mid
86,89,3.7,Quick Bites,Biryani,250,Chickpet Donne Biryani House,0,0,21,Delivery,Banashankari,Budget
87,93,3.2,Dessert Parlor,Ice Cream,300,Thanco's Natural Ice Creams,0,0,9,Delivery,Banashankari,Budget
88,94,2.6,Casual Dining,North Indian,600,Nandhini Deluxe,0,0,283,Delivery,Banashankari,Mid
89,95,3.3,Bar,South Indian,800,Vi Ra's Bar and Restaurant,0,0,62,Delivery,Banashankari,Premium
90,96,3.8,Quick Bites,Fast Food,250,Kaggis,0,0,64,Delivery,Banashankari,Budget
91,97,3.7,Casual Dining,North Indian,950,Ayda Persian Kitchen,0,0,39,Delivery,Banashankari,Premium
92,98,3.7,Quick Bites,Fast Food,300,Chatar Patar,0,0,65,Delivery,Banashankari,Budget
93,99,3.8,Dessert Parlor,Ice Cream,400,Polar Bear,1,0,71,Delivery,Basavanagudi,Mid
94,100,3.5,Quick Bites,South Indian,300,Kidambi's Kitchen,0,0,52,Delivery,Banashankari,Budget
95,101,3.7,Quick Bites,South Indian,200,Mane Thindi,0,0,130,Delivery,Banashankari,Budget
96,102,3.5,Quick Bites,South Indian,300,Kotian Karavali Restaurant,0,0,10,Delivery,Banashankari,Budget
97,103,3.8,"Takeaway, Delivery",Bakery,400,Floured-Baked With Love,0,0,45,Delivery,Banashankari,Mid
98,104,3.2,Cafe,Cafe,600,CAFE NOVA,0,0,11,Delivery,Banashankari,Mid
99,105,3.5,Bakery,Bakery,300,Cakes & Slices,0,0,13,Delivery,Banashankari,Budget
100,106,3.4,Quick Bites,Biryani,300,Spice 9,0,0,8,Delivery,Banashankari,Budget
101,108,3.2,Quick Bites,Biryani,300,Naveen Kabab & Biriyani Mane,0,0,9,Delivery,Banashankari,Budget
102,109,3.2,Quick Bites,North Indian,300,Katriguppe Donne Biryani,0,0,4,Delivery,Banashankari,Budget
103,111,3.1,Quick Bites,North Indian,150,Atithi Point Ande Ka Funda,0,0,29,Delivery,Banashankari,Budget
104,112,3.4,Bakery,Bakery,400,Just Bake,0,0,8,Delivery,Banashankari,Mid
105,119,3.1,Bar,Chinese,1000,K27 - The Pub,0,0,30,Delivery,Banashankari,Premium
106,120,4.1,Quick Bites,South Indian,300,Bengaluru Coffee House,1,0,201,Delivery,Banashankari,Budget
107,121,3.3,Quick Bites,Mangalorean,200,New Mangalore Lunch Home,0,0,7,Delivery,Banashankari,Budget
108,122,3.1,Quick Bites,Fast Food,100,Coffee Bytes,0,0,6,Delivery,Banashankari,Budget
109,123,3.3,Quick Bites,Street Food,200,Parjanya Chat Zone,0,0,17,Delivery,Banashankari,Budget
110,124,2.9,Dessert Parlor,Ice Cream,200,Kwality Wall's Swirl's Happiness Station,0,0,25,Delivery,Banashankari,Budget
111,127,3.3,Delivery,South Indian,100,Ruchi Maayaka,0,0,8,Delivery,Banashankari,Budget
112,145,4.0,Casual Dining,South Indian,450,Anna Kuteera,1,0,771,Delivery,Banashankari,Mid
113,146,3.0,Bar,North Indian,800,Darbar,0,0,98,Delivery,Banashankari,Premium
114,147,3.9,Quick Bites,South Indian,200,Vijayalakshmi,1,0,47,Delivery,Basavanagudi,Budget
115,148,4.1,Casual Dining,South Indian,500,Sri Udupi Food Hub,1,1,175,Delivery,Jayanagar,Mid
116,149,3.8,Quick Bites,South Indian,300,Udupi Upahar,1,0,58,Delivery,Banashankari,Budget
117,150,3.8,Casual Dining,North Indian,650,House Of Kebabs,1,0,540,Delivery,Basavanagudi,Premium
118,151,3.8,Quick Bites,Chinese,400,Roll N Rock,1,0,124,Delivery,Kumaraswamy Layout,Mid
119,152,4.1,"Takeaway, Delivery",North Indian,500,BOX8- Desi Meals,1,0,340,Delivery,Banashankari,Mid
120,153,3.8,Quick Bites,Burger,450,KFC,1,0,505,Delivery,Banashankari,Mid
121,155,4.1,Dessert Parlor,Desserts,500,Roll Over,1,0,438,Delivery,Jayanagar,Mid
122,156,3.7,Casual Dining,North Indian,750,Imperial Restaurant,1,0,264,Delivery,Mysore Road,Premium
123,157,3.9,Beverage Shop,Beverages,150,Lassi Shop,1,0,169,Delivery,Kumaraswamy Layout,Budget
124,158,3.0,Quick Bites,North Indian,250,The Fortuna,1,0,67,Delivery,Kumaraswamy Layout,Budget
125,159,3.7,Quick Bites,North Indian,350,Wahab,1,0,97,Delivery,Jayanagar,Mid
126,160,3.3,"Takeaway, Delivery",Biryani,300,Al Diwan Biryanis And More,1,0,12,Delivery,Basavanagudi,Budget
127,161,3.3,Quick Bites,Biryani,300,New Gowda's Fried Chicken,1,0,12,Delivery,Banashankari,Budget
128,162,3.6,Casual Dining,Chinese,800,Canton,1,0,195,Delivery,Jayanagar,Premium
129,163,3.3,"Dessert Parlor, Sweet Shop",Desserts,300,Diabetics Dezire Sugarless Sweets and Bakes,1,0,13,Delivery,Basavanagudi,Budget
130,164,4.6,Cafe,Cafe,400,The Blue Wagon - Kitchen,1,0,228,Delivery,Jayanagar,Mid
131,165,4.1,Quick Bites,South Indian,150,HOT COFFEE,1,0,70,Delivery,Basavanagudi,Budget
132,166,4.1,Casual Dining,Thai,1200,Patio 805,1,1,364,Delivery,Jayanagar,Luxury
133,167,3.7,Beverage Shop,Beverages,150,Lassi Corner,1,0,107,Delivery,Basavanagudi,Budget
134,168,3.2,Quick Bites,South Indian,300,Sagar Deluxe,1,0,167,Delivery,Kumaraswamy Layout,Budget
135,169,4.0,Sweet Shop,Mithai,400,Kanti Sweets,1,0,115,Delivery,Banashankari,Mid
136,170,3.7,"Takeaway, Delivery",Italian,400,Vegetalia,1,0,27,Delivery,Banashankari,Mid
137,171,3.5,Quick Bites,Biryani,200,Aramane Donne Biryani,1,0,57,Delivery,Banashankari,Budget
138,172,3.8,Quick Bites,North Indian,250,Ande Ka Funda,1,0,120,Delivery,Banashankari,Budget
139,173,3.8,Bakery,Bakery,400,Cake Ghar,1,0,15,Delivery,Basavanagudi,Mid
140,174,4.2,Quick Bites,Salad,500,Energy Addaa,1,0,64,Delivery,Basavanagudi,Mid
141,175,3.6,Quick Bites,South Indian,150,Bhattara Bhojana,1,0,66,Delivery,Banashankari,Budget
142,176,3.0,Quick Bites,North Indian,450,Tandoori Knight,1,0,290,Delivery,Banashankari,Mid
143,177,4.1,Quick Bites,Street Food,200,Dev Sagar - Food Street,1,0,233,Delivery,Basavanagudi,Budget
144,178,3.8,Quick Bites,Fast Food,250,Mitraa Da Pizza,1,0,115,Delivery,Kumaraswamy Layout,Budget
145,179,3.1,Casual Dining,Biryani,700,Paradise Premium,1,0,119,Delivery,Banashankari,Premium
146,180,3.9,Cafe,Cafe,650,Grazers,1,1,291,Delivery,Jayanagar,Premium
147,181,4.5,Beverage Shop,Beverages,300,Shakes Theory,1,0,155,Delivery,Jayanagar,Budget
148,182,4.1,Casual Dining,Italian,700,@Italy,1,0,305,Delivery,Kumaraswamy Layout,Premium
149,183,3.6,Quick Bites,Fast Food,500,Chilli Flakes,1,0,46,Delivery,Banashankari,Mid
150,184,3.5,Quick Bites,Bengali,350,Calcutta Cafe,1,0,45,Delivery,Kumaraswamy Layout,Mid
151,185,3.9,Dessert Parlor,Ice Cream,150,Old Mumbai Ice Cream,1,0,38,Delivery,Banashankari,Budget
152,186,3.9,Quick Bites,South Indian,400,Donne Biriyani House,1,0,441,Delivery,Banashankari,Mid
153,187,3.9,Quick Bites,South Indian,100,By 2 Coffee,1,0,25,Delivery,Basavanagudi,Budget
154,188,4.3,Quick Bites,North Indian,200,Kedia's Fun Food,1,0,630,Delivery,Jayanagar,Budget
155,189,3.8,Quick Bites,South Indian,150,Davangere Butter Dosa Hotel,1,0,25,Delivery,Kumaraswamy Layout,Budget
156,190,3.9,Quick Bites,Arabian,300,Just Shawarma,1,0,160,Delivery,Kumaraswamy Layout,Budget
157,191,4.2,Quick Bites,North Indian,350,Mini Punjabi Dhaba,1,0,287,Delivery,Banashankari,Mid
158,192,3.6,Quick Bites,South Indian,100,Mulabagilu Dosa,1,0,11,Delivery,Basavanagudi,Budget
159,193,4.1,Cafe,Cafe,500,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,402,Delivery,Banashankari,Mid
160,194,3.8,Casual Dining,North Indian,750,Gokul Veg,1,0,469,Delivery,Basavanagudi,Premium
161,195,3.3,Casual Dining,BBQ,550,Olive - Era,1,0,511,Delivery,Kumaraswamy Layout,Mid
162,196,3.9,Quick Bites,South Indian,200,Udupi Ruchi,1,0,57,Delivery,Banashankari,Budget
163,197,3.4,Quick Bites,South Indian,300,Madhappa Hindu Military Hotel,1,0,14,Delivery,Banashankari,Budget
164,198,3.9,Quick Bites,South Indian,200,Gama Gama,1,0,264,Delivery,Banashankari,Budget
165,199,3.0,Cafe,Cafe,400,The Vintage Cafe,1,0,62,Delivery,Banashankari,Mid
166,200,3.8,Casual Dining,Pizza,750,Pizza Hut,1,0,693,Delivery,Banashankari,Premium
167,201,3.8,Casual Dining,Mangalorean,650,Mangalore Pearl,1,0,242,Delivery,Jayanagar,Premium
168,202,3.6,Dessert Parlor,Fast Food,250,Asha Sweets Centre,1,0,27,Delivery,Basavanagudi,Budget
169,203,4.1,Quick Bites,Continental,500,Twiststick House,1,0,163,Delivery,Basavanagudi,Mid
170,204,4.2,Quick Bites,Street Food,250,Cool Corner,1,0,191,Delivery,Basavanagudi,Budget
171,205,3.5,Quick Bites,Pizza,150,Pizza Mane,1,0,32,Delivery,Banashankari,Budget
172,206,2.5,Casual Dining,North Indian,500,Dal Tadkaa,1,0,247,Delivery,Banashankari,Mid
173,207,4.1,Casual Dining,North Indian,1500,Chutney Chang,1,1,2339,Delivery,Jayanagar,Luxury
174,208,4.1,Quick Bites,Chinese,300,Mystique Palate,1,0,337,Delivery,Jayanagar,Budget
175,209,3.9,Casual Dining,North Indian,800,Thamboola,1,0,135,Delivery,Banashankari,Premium
176,210,3.6,Casual Dining,North Indian,700,Castle Rock,1,0,172,Delivery,Uttarahalli,Premium
177,211,3.6,Casual Dining,Vietnamese,700,Vietnamese Kitchen,1,0,105,Delivery,Banashankari,Premium
178,212,4.2,Cafe,Cafe,550,Smacznego,1,0,504,Delivery,Banashankari,Mid
179,213,3.2,Quick Bites,Fast Food,200,C Corner,1,0,36,Delivery,Kumaraswamy Layout,Budget
180,214,3.1,Quick Bites,North Indian,300,Paratha Merchant,1,0,39,Delivery,Kumaraswamy Layout,Budget
181,215,3.1,Casual Dining,North Indian,500,North Rasoe,1,0,5,Delivery,Kumaraswamy Layout,Mid
182,217,4.3,Casual Dining,Italian,1300,Toscano,1,1,1129,Delivery,Jayanagar,Luxury
183,218,3.9,Quick Bites,North Indian,350,Lord Of The Kitchen,1,0,56,Delivery,Kumaraswamy Layout,Mid
184,219,4.3,Dessert Parlor,Desserts,500,Stoned Monkey,1,0,860,Delivery,Banashankari,Mid
185,220,3.8,Casual Dining,Andhra,700,Central Jail Restaurant,1,0,412,Delivery,Jayanagar,Premium
186,221,3.9,Casual Dining,Mangalorean,1000,Bella,1,1,142,Delivery,Jayanagar,Premium
187,222,3.0,Quick Bites,Andhra,400,Vennela Andhra Meals,1,0,23,Delivery,Jayanagar,Mid
188,223,3.6,Casual Dining,South Indian,750,New Prashanth Hotel,1,0,143,Delivery,Jayanagar,Premium
189,224,2.8,Casual Dining,South Indian,500,The Grillo,1,1,80,Delivery,Jayanagar,Mid
190,225,3.6,Casual Dining,South Indian,400,Re Malnad Nati Style Hotel,1,0,16,Delivery,JP Nagar,Mid
191,226,4.4,Beverage Shop,Beverages,250,Karma Kaapi,1,0,181,Delivery,Jayanagar,Budget
192,227,3.8,Quick Bites,North Indian,200,Tiwari's,1,0,70,Delivery,Jayanagar,Budget
193,228,3.8,Quick Bites,Pizza,600,Pizza Stop,1,0,164,Delivery,Basavanagudi,Mid
194,229,3.6,Quick Bites,Cafe,650,Biggies Burger 'n' More,1,0,58,Delivery,Kumaraswamy Layout,Premium
195,230,3.8,"Casual Dining, Cafe",North Indian,550,Srinathji's Cafe,0,0,148,Delivery,Basavanagudi,Mid
196,231,3.9,Quick Bites,South Indian,450,Kollapuri's,0,0,206,Delivery,Basavanagudi,Mid
197,234,3.6,Quick Bites,South Indian,300,Kadamba Classic,0,0,16,Delivery,Mysore Road,Budget
198,235,3.7,Casual Dining,North Indian,450,RS Shiv Sagar,0,0,217,Delivery,Basavanagudi,Mid
199,236,3.6,Quick Bites,Andhra,450,Kholi Mane,0,0,46,Delivery,Basavanagudi,Mid
200,237,3.8,Quick Bites,Fast Food,150,Harshi Super Sandwich,0,0,148,Delivery,Basavanagudi,Budget
201,238,3.4,Dessert Parlor,Desserts,250,Cake Yard,0,0,30,Delivery,Basavanagudi,Budget
202,239,3.6,Casual Dining,North Indian,800,Rosewood International Hotel - Bar & Restaurant,0,0,8,Delivery,Mysore Road,Premium
203,240,3.3,Quick Bites,South Indian,250,Sri Udupi Veg,0,0,4,Delivery,Jayanagar,Budget
204,241,3.5,"Bakery, Quick Bites",Bakery,400,Cake Art,0,0,15,Delivery,Basavanagudi,Mid
205,245,3.4,Quick Bites,Street Food,200,Potato House,1,0,9,Delivery,Uttarahalli,Budget
206,247,3.7,Quick Bites,South Indian,300,Matru Sagar,1,0,31,Delivery,Mysore Road,Budget
207,248,2.9,Casual Dining,North Indian,700,Ugadi,1,0,177,Delivery,Jayanagar,Premium
208,249,3.7,Sweet Shop,Mithai,250,Sri Krishna Sweets,1,0,22,Delivery,Basavanagudi,Budget
209,250,3.5,Beverage Shop,Juices,100,In Time Cane Juice,1,0,10,Delivery,Kumaraswamy Layout,Budget
210,251,3.7,Quick Bites,Salad,600,Subway,1,0,136,Delivery,Banashankari,Mid
211,252,2.9,Quick Bites,North Indian,250,Daal Roti,1,0,35,Delivery,Kumaraswamy Layout,Budget
212,253,4.1,Quick Bites,Juices,200,The Lassi Park,1,0,185,Delivery,Jayanagar,Budget
213,254,3.2,Cafe,Cafe,900,Cafe Coffee Day,1,0,17,Delivery,Jayanagar,Premium
214,255,3.8,Casual Dining,South Indian,400,A2B - Adyar Ananda Bhavan,1,0,155,Delivery,Mysore Road,Mid
215,256,3.8,Quick Bites,South Indian,300,Srikrishna Bhavan,1,0,42,Delivery,Banashankari,Budget
216,257,3.8,Casual Dining,North Indian,600,Timepass Dinner,1,0,286,Delivery,Basavanagudi,Mid
217,258,3.8,Casual Dining,North Indian,700,Green Gardenia,1,0,160,Delivery,Banashankari,Premium
218,259,3.8,Casual Dining,North Indian,750,J Spice,1,0,59,Delivery,Banashankari,Premium
219,260,3.5,Casual Dining,Seafood,500,Karavali Family Restaurant,1,0,90,Delivery,Jayanagar,Mid
220,261,3.7,Quick Bites,South Indian,350,Karavali Lunch Home,1,0,51,Delivery,Kumaraswamy Layout,Mid
221,262,4.0,Quick Bites,South Indian,200,Hatti Kaapi,1,0,89,Delivery,Jayanagar,Budget
222,263,3.6,Quick Bites,Fast Food,250,Kolkata Kathi Roll's,1,0,18,Delivery,Banashankari,Budget
223,264,3.9,Casual Dining,North Indian,600,Upahara Darshini,1,0,40,Delivery,Basavanagudi,Mid
224,265,2.5,Quick Bites,Fast Food,200,The Chaat Shop,1,0,35,Delivery,Basavanagudi,Budget
225,266,3.4,Quick Bites,North Indian,250,Anda Ka Funda,1,0,89,Delivery,Jayanagar,Budget
226,267,3.2,Quick Bites,Beverages,150,Shri Vinayaka Ice N Juice,1,0,11,Delivery,Basavanagudi,Budget
227,268,3.6,"Quick Bites, Cafe",Italian,600,My Tea House,1,0,62,Delivery,Banashankari,Mid
228,269,3.9,Dessert Parlor,Desserts,300,Ibaco,1,0,33,Delivery,Jayanagar,Budget
229,270,3.8,Sweet Shop,Desserts,250,Jalaram Sweets,1,0,32,Delivery,Jayanagar,Budget
230,271,4.1,Casual Dining,North Indian,550,Samskruti - Sanman Gardenia,1,0,139,Delivery,Jayanagar,Mid
231,272,3.2,Quick Bites,Fast Food,300,Bendakaluru Bytes,1,0,154,Delivery,Vijay Nagar,Budget
232,273,3.6,Bakery,Bakery,350,Cocoa Bakes,1,0,14,Delivery,Banashankari,Mid
233,274,3.7,Quick Bites,South Indian,200,Chumma Delicious,1,0,237,Delivery,Banashankari,Budget
234,275,3.9,Casual Dining,Biryani,650,New Prashanth Hotel,1,0,388,Delivery,Banashankari,Premium
235,277,3.9,Casual Dining,South Indian,500,Dwaraka Grand,1,0,128,Delivery,Kumaraswamy Layout,Mid
236,278,4.1,Casual Dining,North Indian,1200,Gufha - The President Hotel,1,1,1875,Delivery,Jayanagar,Luxury
237,279,3.8,Cafe,Cafe,650,Cafe Vivacity,1,0,90,Delivery,Banashankari,Premium
238,280,3.1,Quick Bites,Italian,250,Tanna's Kitchen,1,0,7,Delivery,Kumaraswamy Layout,Budget
239,281,3.7,Casual Dining,South Indian,400,Shree Mandarathi Grand,1,0,38,Delivery,Uttarahalli,Mid
240,282,4.2,Delivery,Pizza,600,Mojo Pizza - 2X Toppings,1,0,179,Delivery,Banashankari,Mid
241,283,4.0,Dessert Parlor,Desserts,250,Iceberg Icecreams,1,0,43,Delivery,Basavanagudi,Budget
242,284,4.3,Quick Bites,South Indian,100,South Kitchen,1,0,275,Delivery,Basavanagudi,Budget
243,285,3.7,Casual Dining,Chinese,850,Chung Wah,1,0,323,Delivery,Jayanagar,Premium
244,286,3.1,Casual Dining,South Indian,400,Shanthi Sagar,1,0,28,Delivery,Uttarahalli,Mid
245,287,3.9,Quick Bites,South Indian,200,Millet Mama,1,0,18,Delivery,Basavanagudi,Budget
246,288,3.3,Quick Bites,Street Food,100,Bangarpet Chat Express,1,0,6,Delivery,Basavanagudi,Budget
247,290,4.3,Casual Dining,South Indian,400,Prems Graama Bhojanam,1,0,322,Delivery,Jayanagar,Mid
248,291,2.6,Cafe,Cafe,450,Java City,1,0,157,Delivery,Jayanagar,Mid
249,292,3.9,Quick Bites,South Indian,300,Kamat Bugle Rock,1,0,543,Delivery,Basavanagudi,Budget
250,293,3.7,Cafe,Cafe,500,Woodee Pizza,1,0,180,Delivery,Banashankari,Mid
251,294,4.2,Quick Bites,South Indian,100,Puliyogare Point,1,0,444,Delivery,Basavanagudi,Budget
252,295,3.9,Quick Bites,Street Food,400,Bangalore Agarwal Bhavan,1,0,134,Delivery,Jayanagar,Mid
253,296,3.8,Casual Dining,North Indian,900,Rustic Stove,1,0,577,Delivery,Jayanagar,Premium
254,297,4.2,Quick Bites,South Indian,200,Udupi Ruchi Grand,1,0,60,Delivery,Banashankari,Budget
